prompt_idx,concept_id,template,prompt,auc_akiec,auc_bcc,auc_bkl,auc_df,auc_mel,auc_nv,auc_vasc,auc_max,auc_argmax_class
0,asymmetry,t1,a dermoscopic image of an asymmetric skin lesion,0.26173813607775875,0.4051670369565853,0.37692470846856624,0.47800979757190615,0.4713318043712633,0.6203277747244719,0.5544224801746925,0.6203277747244719,nv
1,asymmetry,t2,a dermatoscopic image showing a skin lesion with asymmetric shape along both axes,0.29307932800506065,0.35891207805686076,0.366841806266644,0.447705713511579,0.4934951680878173,0.6306302936456023,0.41372026203884615,0.6306302936456023,nv
2,asymmetry,t3,a close-up photograph of a mole that is asymmetric in outline,0.2535948809654149,0.38406321096617085,0.3652034300565438,0.45608986758354086,0.45894039008134857,0.6448832377442552,0.4412010113780025,0.6448832377442552,nv
3,border_irregularity,t1,a dermoscopic image with an irregular and asymmetric border,0.2402605744315901,0.313491859338102,0.34561637177378846,0.43360848253548756,0.48107223365676766,0.6602917784963349,0.473203080105735,0.6602917784963349,nv
4,border_irregularity,t2,"a dermatoscopic image showing a skin lesion with jagged, notched borders",0.3573660328698466,0.41289977655575755,0.4184701736667653,0.46864979838329923,0.5067978437714398,0.5739993843748665,0.5057556602689346,0.5739993843748665,nv
5,border_irregularity,t3,a close-up photograph of a mole with poorly defined edges,0.3004846538447502,0.4298927810614809,0.39607699167766264,0.4554161215119152,0.4815990591002646,0.6033300514978432,0.45576255602804283,0.6033300514978432,nv
6,colour_variation,t1,a dermoscopic image of a lesion with multiple colours,0.26868800408744203,0.4198320738394936,0.38865966055268025,0.45470325470064665,0.5010487895716946,0.5890905241495887,0.7118848408228939,0.7118848408228939,vasc
7,colour_variation,t2,"a dermatoscopic image showing variegated pigmentation including brown, black, and red",0.34016203788182914,0.31983696446105986,0.4041174288599385,0.32887719130476367,0.5642113103989023,0.5974144938555498,0.2939213883461671,0.5974144938555498,nv
8,colour_variation,t3,a close-up photograph of a skin lesion with uneven color distribution,0.3390479666192231,0.3719055703544494,0.3980365401857298,0.4655556376608116,0.4396155640497893,0.6232287430907247,0.5344535110906792,0.6232287430907247,nv
9,diameter_large,t1,a dermoscopic image of a large skin lesion greater than six millimetres,0.26456382370473097,0.37145525208296015,0.3815611167828584,0.4690540460262747,0.4573526217779085,0.631776863846536,0.5584714400643604,0.631776863846536,nv
10,diameter_large,t2,a dermatoscopic image of a wide pigmented lesion,0.3420342323272873,0.37866955403882774,0.4091126120704499,0.3979723865534773,0.5171123003038323,0.5903228983327826,0.4468819675899322,0.5903228983327826,nv
11,diameter_large,t3,a close-up photograph of a sizeable mole,0.3315925209542231,0.44551434730526746,0.4280863425614191,0.47073986012162206,0.4780354797608546,0.5845152717741917,0.41617342834157,0.5845152717741917,nv
12,atypical_pigment_network,t1,a dermoscopic image showing an atypical pigment network,0.32513168619150157,0.33978434899475496,0.41116970473931064,0.4365200798063089,0.5617655983534254,0.5821691316960121,0.38822951384898285,0.5821691316960121,nv
13,atypical_pigment_network,t2,a dermatoscopic image with an irregular brown grid pattern,0.33695582886269354,0.3229121809504574,0.3957407942400133,0.3773318496430595,0.5244235616975399,0.6158983153619123,0.30166187794506377,0.6158983153619123,nv
14,atypical_pigment_network,t3,a close-up photograph of a lesion with a disrupted pigment network,0.30215028648589465,0.38184321810520805,0.38133796563424616,0.48188854646167395,0.4571921983730275,0.6240993918489097,0.550324100678083,0.6240993918489097,nv
15,blue_white_veil,t1,a dermoscopic image showing a blue-white veil,0.2482018904419547,0.31625537809585874,0.3916258934194499,0.46451966251841936,0.49451965108301477,0.62844403065594,0.5098643834042065,0.62844403065594,nv
16,blue_white_veil,t2,a dermatoscopic image with a confluent blue-white area,0.3017449484811989,0.35586814249111753,0.3901170196037529,0.4155122426181338,0.5349082426737235,0.6002621815664246,0.45491035513159406,0.6002621815664246,nv
17,blue_white_veil,t3,a close-up photograph of a lesion with bluish-white structureless regions,0.30009221074656645,0.4631189970796003,0.39928895315161445,0.5501317789359449,0.45572243457806527,0.5844437977242943,0.7367475002873232,0.7367475002873232,vasc
18,atypical_vascular_pattern,t1,a dermoscopic image showing atypical vascular structures,0.42214079778110286,0.40712725524344495,0.44768588204486265,0.48515078147299723,0.43181527001862197,0.5860801495595371,0.50126652108953,0.5860801495595371,nv
19,atypical_vascular_pattern,t2,a dermatoscopic image with irregular blood vessels,0.40055642738099584,0.38926171939010773,0.37253522123285965,0.4087247942901107,0.44138633735175925,0.6322832583681186,0.3946580852775543,0.6322832583681186,nv
20,atypical_vascular_pattern,t3,a close-up photograph of a lesion containing dotted or linear vessels,0.32129922265610744,0.43628504574954174,0.4134655301831207,0.5219228278209314,0.4359643242183671,0.5950492823232698,0.6749580507987588,0.6749580507987588,vasc
21,irregular_streaks,t1,a dermoscopic image showing irregular radial streaks,0.327103633687335,0.3214916776864438,0.3621964941658734,0.49218599448542466,0.3959433891992551,0.687695807286574,0.24836225721181474,0.687695807286574,nv
22,irregular_streaks,t2,a dermatoscopic image with pseudopods at the lesion edge,0.3768297993990487,0.45122843521704836,0.44337136151137957,0.42281043393593765,0.5072486915613055,0.5571561996345025,0.4497086541776807,0.5571561996345025,nv
23,irregular_streaks,t3,a close-up photograph of a lesion with streaks at the periphery,0.2485065021957836,0.3400606373559648,0.33017800100135797,0.4952729106264969,0.37830512594335003,0.7016624337170384,0.49655097115274105,0.7016624337170384,nv
24,irregular_pigmentation,t1,a dermoscopic image with irregular dark pigmented blotches,0.25939661569529093,0.33686426683231263,0.3874442936983928,0.38829290132445443,0.5069018916005097,0.6245130281563502,0.4730984944259281,0.6245130281563502,nv
25,irregular_pigmentation,t2,a dermatoscopic image showing structureless black areas,0.24564310304976703,0.3256212359680446,0.3439867403539796,0.3843206973344287,0.4964646476526512,0.655245218860214,0.43722790483852425,0.655245218860214,nv
26,irregular_pigmentation,t3,a close-up photograph of a lesion with patchy dark pigment,0.25393647433791955,0.3323412358156096,0.3616130576572643,0.448155602017471,0.4620481819072822,0.6491264079860993,0.5676215377542811,0.6491264079860993,nv
27,irregular_dots_globules,t1,a dermoscopic image showing irregular dots and globules,0.3178937508363442,0.37971214563635874,0.4094156588030863,0.42425500347015455,0.5161438792512005,0.5902821212458387,0.48485231582576716,0.5902821212458387,nv
28,irregular_dots_globules,t2,a dermatoscopic image with asymmetrically distributed pigmented globules,0.37719401968297994,0.44264221864000064,0.40921691356919576,0.4156998772767908,0.6061290992845242,0.5324354858015659,0.41222273301919315,0.6061290992845242,mel
29,irregular_dots_globules,t3,a close-up photograph of a lesion with scattered brown dots,0.28145055533253044,0.3749287048998947,0.40663767742185775,0.464599352913988,0.48382687444869155,0.6054599781847854,0.5648362257211815,0.6054599781847854,nv
30,regression_structures,t1,a dermoscopic image showing regression structures,0.3761361507487561,0.39005199937501667,0.4419060526509514,0.46439940246692485,0.4640845241595609,0.5968676383484725,0.31696356740604525,0.5968676383484725,nv
31,regression_structures,t2,a dermatoscopic image with white scar-like areas and peppering,0.31689573373234553,0.38916946448328993,0.3661064489012489,0.4791544414355283,0.4778937175340586,0.6247007221723953,0.439694288012872,0.6247007221723953,nv
32,regression_structures,t3,a close-up photograph of a lesion with whitish depigmented regions,0.3126294660778804,0.4060783121893344,0.4033017784200517,0.48941204426149465,0.44856124669214936,0.6058931074149252,0.6342684748879439,0.6342684748879439,vasc
33,symmetric_uniform,t1,a dermoscopic image of a small symmetric mole with a smooth edge,0.2331895429607192,0.3468104890494537,0.3396511528257041,0.4398851878737299,0.4503873762618837,0.6682960993924109,0.5013900701068843,0.6682960993924109,nv
34,symmetric_uniform,t2,a dermatoscopic image of a round even-coloured mole,0.26674257630500103,0.3928021800739564,0.344716294358545,0.442530184548467,0.5035685190630207,0.6239325956508937,0.5530709113894955,0.6239325956508937,nv
35,symmetric_uniform,t3,a close-up photograph of a small round mole,0.2996175322068537,0.41835774198096853,0.39953865666347455,0.52353836947655,0.44559796138390667,0.6141179617553774,0.5078427766923342,0.6141179617553774,nv
36,reticular_network,t1,a dermoscopic image showing a regular reticular pigment network,0.35786966412418036,0.3558784636080592,0.40579547461872323,0.4743882313223824,0.5133154562383613,0.5947882527710155,0.41009309274796,0.5947882527710155,nv
37,reticular_network,t2,a dermatoscopic image with an even brown net pattern,0.3527788523533204,0.32254411404167316,0.41449717694319965,0.382463186659538,0.5294883465647359,0.6030128261324018,0.299675899321917,0.6030128261324018,nv
38,reticular_network,t3,a close-up photograph of a lesion with a uniform grid of pigment,0.2954670754108731,0.39378189225135,0.39264044808941445,0.45212128588422285,0.44509418798392625,0.619454351298011,0.6294793701873348,0.6294793701873348,vasc
39,arborizing_vessels,t1,a dermoscopic image showing arborizing tree-like blood vessels,0.45897278688125737,0.4004485398636469,0.4292212573450276,0.4040882621842993,0.4409561893560717,0.5972720725915036,0.3861067693368578,0.5972720725915036,nv
40,arborizing_vessels,t2,a dermatoscopic image with branched telangiectatic vessels,0.4600240867121638,0.43728444744233197,0.4696336362157699,0.4428177944306556,0.5475061844555522,0.5261100148244555,0.3108832318124354,0.5475061844555522,mel
41,arborizing_vessels,t3,a close-up photograph of a lesion with tree-branch vasculature,0.4540269819836259,0.43307152629312484,0.44507023577067595,0.4743831601153918,0.38564743702832494,0.5996627478516341,0.4756418802436502,0.5996627478516341,nv
42,blue_grey_ovoid_nests,t1,a dermoscopic image showing blue-grey ovoid nests,0.29358490566037737,0.4652545155680552,0.4436514332949782,0.5218185058485505,0.5197574046848966,0.5456680192998901,0.6112906562464084,0.6112906562464084,vasc
43,blue_grey_ovoid_nests,t2,a dermatoscopic image with large blue-grey pigmented nests,0.33709888933493914,0.46785178494984253,0.4438656806571121,0.416909722373151,0.5932689601097717,0.5140811605222164,0.5588242730720606,0.5932689601097717,mel
