prompt_idx,concept_id,template,prompt,auc_akiec,auc_bcc,auc_bkl,auc_df,auc_mel,auc_nv,auc_vasc,auc_max,auc_argmax_class
0,asymmetry,t1,a dermoscopic image of an asymmetric skin lesion,0.3818417819300999,0.3390385292059027,0.36932357775128194,0.5765455227762395,0.286136312849162,0.7135821276521614,0.3183748994368464,0.7135821276521614,nv
1,asymmetry,t2,a dermatoscopic image showing a skin lesion with asymmetric shape along both axes,0.314705059426055,0.2551856467243633,0.32955688239640324,0.5015467181321731,0.28779472704106634,0.7591958477475594,0.3688949546029192,0.7591958477475594,nv
2,asymmetry,t3,a close-up photograph of a mole that is asymmetric in outline,0.43642616449521304,0.4223597947717351,0.5375390792753398,0.32974871444902787,0.5104444575124963,0.5160547223589653,0.4556074014481094,0.5375390792753398,bkl
3,border_irregularity,t1,a dermoscopic image with an irregular and asymmetric border,0.3050757271632422,0.19199532278737483,0.36930640616307386,0.3873626970707259,0.332682230716456,0.7497434309904175,0.24924606367084243,0.7497434309904175,nv
4,border_irregularity,t2,"a dermatoscopic image showing a skin lesion with jagged, notched borders",0.3270484045594443,0.28865750532569634,0.34037514196372054,0.5426481263339086,0.3062944624130158,0.7295792493026099,0.4567883001953798,0.7295792493026099,nv
5,border_irregularity,t3,a close-up photograph of a mole with poorly defined edges,0.5567256669464618,0.5810431568771666,0.6333317380715894,0.38374837540261764,0.6139397432127806,0.3663910472764137,0.5521169980462015,0.6333317380715894,bkl
6,colour_variation,t1,a dermoscopic image of a lesion with multiple colours,0.37977932678856,0.42887956495063007,0.40069543342281105,0.5058311635811994,0.3801167499754974,0.6201290522800889,0.6676715320078153,0.6676715320078153,vasc
7,colour_variation,t2,"a dermatoscopic image showing variegated pigmentation including brown, black, and red",0.4589226670559468,0.3136026922554149,0.6220451552351323,0.24655991051493034,0.5335973341174165,0.5156123559420329,0.08875646477416388,0.6220451552351323,bkl
8,colour_variation,t3,a close-up photograph of a skin lesion with uneven color distribution,0.3749150274320888,0.3728255788399954,0.3922422421387913,0.4397721724036508,0.4946437714397727,0.5880885528004621,0.6803873118032411,0.6803873118032411,vasc
9,diameter_large,t1,a dermoscopic image of a large skin lesion greater than six millimetres,0.3747902144690583,0.2341261221435912,0.39944373593976845,0.5102822344027784,0.3562948936587278,0.6966418646445166,0.31252499712676707,0.6966418646445166,nv
10,diameter_large,t2,a dermatoscopic image of a wide pigmented lesion,0.25614636935391655,0.20338189657034048,0.44433440141671965,0.2892275972186603,0.48186133490149957,0.6664279047053878,0.1289392023905298,0.6664279047053878,nv
11,diameter_large,t3,a close-up photograph of a sizeable mole,0.5056136637349001,0.518370953010654,0.5990927836559551,0.4254532572362502,0.532788552386553,0.44245049991795415,0.46438110562004364,0.5990927836559551,bkl
