prompt_idx,concept_id,template,prompt,min,max,mean,std,p05,p95,flagged_dead
0,asymmetry,t1,a dermoscopic image of an asymmetric skin lesion,0.30006369948387146,0.48216038942337036,0.43867507576942444,0.017616664990782738,0.40735378563404084,0.4630625739693642,False
1,asymmetry,t2,a dermatoscopic image showing a skin lesion with asymmetric shape along both axes,0.27387118339538574,0.5048257112503052,0.44749510288238525,0.019062455743551254,0.415463288128376,0.47527233958244325,False
2,asymmetry,t3,a close-up photograph of a mole that is asymmetric in outline,0.2512110769748688,0.4475283622741699,0.34248319268226624,0.023641128093004227,0.30373578071594237,0.38133924603462216,False
3,border_irregularity,t1,a dermoscopic image with an irregular and asymmetric border,0.27299436926841736,0.5073133707046509,0.4460245966911316,0.019807051867246628,0.41071160733699796,0.4729864031076431,False
4,border_irregularity,t2,"a dermatoscopic image showing a skin lesion with jagged, notched borders",0.2945820391178131,0.5137274861335754,0.45014339685440063,0.01734185963869095,0.4210309490561485,0.475887393951416,False
5,border_irregularity,t3,a close-up photograph of a mole with poorly defined edges,0.221210777759552,0.4327021539211273,0.3090479373931885,0.026111846789717674,0.2703110620379448,0.3553635314106941,False
6,colour_variation,t1,a dermoscopic image of a lesion with multiple colours,0.2959192097187042,0.5022997856140137,0.4292382299900055,0.017241008579730988,0.40040051490068435,0.4565328747034073,False
7,colour_variation,t2,"a dermatoscopic image showing variegated pigmentation including brown, black, and red",0.2712293863296509,0.5030867457389832,0.4284363090991974,0.021417338401079178,0.39229549318552015,0.4588699996471405,False
8,colour_variation,t3,a close-up photograph of a skin lesion with uneven color distribution,0.2682800590991974,0.4872284531593323,0.41101300716400146,0.021806417033076286,0.3749465480446815,0.44545493423938753,False
9,diameter_large,t1,a dermoscopic image of a large skin lesion greater than six millimetres,0.2548748850822449,0.48972177505493164,0.4337173402309418,0.019021490588784218,0.4009745642542839,0.46098995506763457,False
10,diameter_large,t2,a dermatoscopic image of a wide pigmented lesion,0.2947983741760254,0.5164401531219482,0.4453214406967163,0.02070745639503002,0.41052355915308,0.4751692175865173,False
11,diameter_large,t3,a close-up photograph of a sizeable mole,0.22654208540916443,0.4076554775238037,0.3045431971549988,0.022996611893177032,0.27075339257717135,0.3455737322568893,False
12,atypical_pigment_network,t1,a dermoscopic image showing an atypical pigment network,0.2699891924858093,0.4812677204608917,0.4315458834171295,0.019820988178253174,0.39644079506397245,0.4576488360762596,False
13,atypical_pigment_network,t2,a dermatoscopic image with an irregular brown grid pattern,0.2756367027759552,0.5142995715141296,0.4621080458164215,0.02087170071899891,0.42546783685684203,0.4875711128115654,False
14,atypical_pigment_network,t3,a close-up photograph of a lesion with a disrupted pigment network,0.2472899854183197,0.5029299259185791,0.42662233114242554,0.02044278010725975,0.3914978727698326,0.4571743205189705,False
15,blue_white_veil,t1,a dermoscopic image showing a blue-white veil,0.26044294238090515,0.532039999961853,0.4200432002544403,0.021735521033406258,0.382479889690876,0.45045831501483913,False
16,blue_white_veil,t2,a dermatoscopic image with a confluent blue-white area,0.27280253171920776,0.5164164304733276,0.4332846403121948,0.0240462776273489,0.3897277653217316,0.46371110975742336,False
17,blue_white_veil,t3,a close-up photograph of a lesion with bluish-white structureless regions,0.2883821725845337,0.5033124089241028,0.4055633246898651,0.022986650466918945,0.367516952753067,0.4424841225147247,False
18,atypical_vascular_pattern,t1,a dermoscopic image showing atypical vascular structures,0.243007093667984,0.4862724840641022,0.4292871952056885,0.01936136558651924,0.3957042008638382,0.45683654248714445,False
19,atypical_vascular_pattern,t2,a dermatoscopic image with irregular blood vessels,0.25530120730400085,0.49898219108581543,0.4322707951068878,0.021843116730451584,0.3946082264184952,0.463841937482357,False
20,atypical_vascular_pattern,t3,a close-up photograph of a lesion containing dotted or linear vessels,0.2637748420238495,0.5006790161132812,0.4305059611797333,0.017645226791501045,0.40158581733703613,0.4569713488221169,False
21,irregular_streaks,t1,a dermoscopic image showing irregular radial streaks,0.24631267786026,0.4845072031021118,0.42299848794937134,0.02190215140581131,0.3854041680693626,0.45372687578201293,False
22,irregular_streaks,t2,a dermatoscopic image with pseudopods at the lesion edge,0.2683284878730774,0.5123539566993713,0.42659133672714233,0.019062940031290054,0.3967849940061569,0.45611289143562317,False
23,irregular_streaks,t3,a close-up photograph of a lesion with streaks at the periphery,0.2603231966495514,0.474435418844223,0.39768487215042114,0.019557395949959755,0.3656019002199173,0.4284662753343582,False
24,irregular_pigmentation,t1,a dermoscopic image with irregular dark pigmented blotches,0.2656530737876892,0.4864904284477234,0.4254119098186493,0.021345019340515137,0.388157331943512,0.45280614495277405,False
25,irregular_pigmentation,t2,a dermatoscopic image showing structureless black areas,0.28394871950149536,0.5089775919914246,0.45213887095451355,0.022304747253656387,0.41295190453529357,0.48067576736211776,False
26,irregular_pigmentation,t3,a close-up photograph of a lesion with patchy dark pigment,0.2625502049922943,0.493804395198822,0.4152504801750183,0.021701263263821602,0.3781520530581474,0.447558556497097,False
27,irregular_dots_globules,t1,a dermoscopic image showing irregular dots and globules,0.25656646490097046,0.4788486659526825,0.41926494240760803,0.01940724439918995,0.38673930019140246,0.44750604033470154,False
28,irregular_dots_globules,t2,a dermatoscopic image with asymmetrically distributed pigmented globules,0.2882377803325653,0.4887438416481018,0.4384293258190155,0.0177446361631155,0.40876098573207853,0.4631557181477547,False
29,irregular_dots_globules,t3,a close-up photograph of a lesion with scattered brown dots,0.23230308294296265,0.4882422387599945,0.4011782705783844,0.023284437134861946,0.36324002891778945,0.43781614154577253,False
30,regression_structures,t1,a dermoscopic image showing regression structures,0.25991150736808777,0.4872191548347473,0.43040433526039124,0.020806005224585533,0.3936939239501953,0.459011210501194,False
31,regression_structures,t2,a dermatoscopic image with white scar-like areas and peppering,0.22058342397212982,0.5085235834121704,0.4482744634151459,0.024519452825188637,0.4042541578412056,0.4803910136222839,False
32,regression_structures,t3,a close-up photograph of a lesion with whitish depigmented regions,0.2502296566963196,0.4796145260334015,0.39266616106033325,0.020535200834274292,0.3583176344633102,0.42357596307992934,False
33,symmetric_uniform,t1,a dermoscopic image of a small symmetric mole with a smooth edge,0.3080666661262512,0.5057153105735779,0.441439688205719,0.01936328411102295,0.4100933879613876,0.47168011665344234,False
34,symmetric_uniform,t2,a dermatoscopic image of a round even-coloured mole,0.2977905571460724,0.5090941190719604,0.45141342282295227,0.017272459343075752,0.42337306439876554,0.4775536239147186,False
35,symmetric_uniform,t3,a close-up photograph of a small round mole,0.2366848886013031,0.45869067311286926,0.35079488158226013,0.02592070959508419,0.31147589534521103,0.39501915425062173,False
36,reticular_network,t1,a dermoscopic image showing a regular reticular pigment network,0.2433861792087555,0.4860870838165283,0.4249536991119385,0.02336135134100914,0.38251258730888366,0.45413157194852827,False
37,reticular_network,t2,a dermatoscopic image with an even brown net pattern,0.2572450339794159,0.5044902563095093,0.44794800877571106,0.02224542759358883,0.408439601957798,0.47592992931604383,False
38,reticular_network,t3,a close-up photograph of a lesion with a uniform grid of pigment,0.23990145325660706,0.49727579951286316,0.41242921352386475,0.023750005289912224,0.37235295325517653,0.448977991938591,False
39,arborizing_vessels,t1,a dermoscopic image showing arborizing tree-like blood vessels,0.22144144773483276,0.49622440338134766,0.4065116047859192,0.024356380105018616,0.36505198776721953,0.44216635823249817,False
40,arborizing_vessels,t2,a dermatoscopic image with branched telangiectatic vessels,0.21717993915081024,0.4983998239040375,0.41877952218055725,0.028536327183246613,0.36975241601467135,0.4600344657897949,False
41,arborizing_vessels,t3,a close-up photograph of a lesion with tree-branch vasculature,0.24662534892559052,0.47853899002075195,0.389622300863266,0.020426509901881218,0.3549144774675369,0.4204964742064476,False
42,blue_grey_ovoid_nests,t1,a dermoscopic image showing blue-grey ovoid nests,0.305324912071228,0.4963790774345398,0.4337835907936096,0.01892116107046604,0.399658291041851,0.45886671245098115,False
43,blue_grey_ovoid_nests,t2,a dermatoscopic image with large blue-grey pigmented nests,0.27684369683265686,0.5239431262016296,0.437761515378952,0.022565972059965134,0.3984901919960976,0.4690108224749565,False
44,blue_grey_ovoid_nests,t3,a close-up photograph of a lesion with grey-blue oval clusters,0.29657095670700073,0.509454071521759,0.4180012047290802,0.022151047363877296,0.38105085492134094,0.45245630294084543,False
